Date,Score Type,Visitor/Neutral,VisitorPTS,Home/Neutral,HomePTS
2020-12-22 00:00:00,Box Score,Golden State Warriors,99,Brooklyn Nets,125
2020-12-22 00:00:00,Box Score,Los Angeles Clippers,116,Los Angeles Lakers,109
2020-12-23 00:00:00,Box Score,Charlotte Hornets,114,Cleveland Cavaliers,121
2020-12-23 00:00:00,Box Score,New York Knicks,107,Indiana Pacers,121
2020-12-23 00:00:00,Box Score,Miami Heat,107,Orlando Magic,113
2020-12-23 00:00:00,Box Score,Washington Wizards,107,Philadelphia 76ers,113
2020-12-23 00:00:00,Box Score,New Orleans Pelicans,113,Toronto Raptors,99
2020-12-23 00:00:00,Box Score,Milwaukee Bucks,121,Boston Celtics,122
2020-12-23 00:00:00,Box Score,Atlanta Hawks,124,Chicago Bulls,104
2020-12-23 00:00:00,Box Score,San Antonio Spurs,131,Memphis Grizzlies,119
2020-12-23 00:00:00,Box Score,Detroit Pistons,101,Minnesota Timberwolves,111
2020-12-23 00:00:00,Box Score,Sacramento Kings,124,Denver Nuggets,122
2020-12-23 00:00:00,Box Score,Utah Jazz,120,Portland Trail Blazers,100
2020-12-23 00:00:00,Box Score,Dallas Mavericks,102,Phoenix Suns,106
2020-12-25 00:00:00,Box Score,New Orleans Pelicans,98,Miami Heat,111
2020-12-25 00:00:00,Box Score,Golden State Warriors,99,Milwaukee Bucks,138
2020-12-25 00:00:00,Box Score,Brooklyn Nets,123,Boston Celtics,95
2020-12-25 00:00:00,Box Score,Dallas Mavericks,115,Los Angeles Lakers,138
2020-12-25 00:00:00,Box Score,Los Angeles Clippers,121,Denver Nuggets,108
2020-12-26 00:00:00,Box Score,Atlanta Hawks,122,Memphis Grizzlies,112
2020-12-26 00:00:00,Box Score,Oklahoma City Thunder,109,Charlotte Hornets,107
2020-12-26 00:00:00,Box Score,Cleveland Cavaliers,128,Detroit Pistons,119
2020-12-26 00:00:00,Box Score,Orlando Magic,130,Washington Wizards,120
2020-12-26 00:00:00,Box Score,Philadelphia 76ers,109,New York Knicks,89
2020-12-26 00:00:00,Box Score,Indiana Pacers,125,Chicago Bulls,106
2020-12-26 00:00:00,Box Score,Toronto Raptors,114,San Antonio Spurs,119
2020-12-26 00:00:00,Box Score,Minnesota Timberwolves,116,Utah Jazz,111
2020-12-26 00:00:00,Box Score,Houston Rockets,126,Portland Trail Blazers,128
2020-12-26 00:00:00,Box Score,Phoenix Suns,103,Sacramento Kings,106
2020-12-27 00:00:00,Box Score,Dallas Mavericks,124,Los Angeles Clippers,73
2020-12-27 00:00:00,Box Score,San Antonio Spurs,95,New Orleans Pelicans,98
2020-12-27 00:00:00,Box Score,Orlando Magic,120,Washington Wizards,113
2020-12-27 00:00:00,Box Score,Brooklyn Nets,104,Charlotte Hornets,106
2020-12-27 00:00:00,Box Score,Philadelphia 76ers,94,Cleveland Cavaliers,118
2020-12-27 00:00:00,Box Score,Milwaukee Bucks,110,New York Knicks,130
2020-12-27 00:00:00,Box Score,Boston Celtics,107,Indiana Pacers,108
2020-12-27 00:00:00,Box Score,Golden State Warriors,129,Chicago Bulls,128
2020-12-27 00:00:00,Box Score,Phoenix Suns,116,Sacramento Kings,100
2020-12-27 00:00:00,Box Score,Minnesota Timberwolves,91,Los Angeles Lakers,127
2020-12-28 00:00:00,Box Score,Memphis Grizzlies,116,Brooklyn Nets,111
2020-12-28 00:00:00,Box Score,Detroit Pistons,120,Atlanta Hawks,128
2020-12-28 00:00:00,Box Score,Utah Jazz,110,Oklahoma City Thunder,109
2020-12-28 00:00:00,Box Score,Houston Rockets,111,Denver Nuggets,124
2020-12-28 00:00:00,Box Score,Portland Trail Blazers,115,Los Angeles Lakers,107
2020-12-29 00:00:00,Box Score,New York Knicks,95,Cleveland Cavaliers,86
2020-12-29 00:00:00,Box Score,Golden State Warriors,116,Detroit Pistons,106
2020-12-29 00:00:00,Box Score,Boston Celtics,116,Indiana Pacers,111
2020-12-29 00:00:00,Box Score,Chicago Bulls,115,Washington Wizards,107
2020-12-29 00:00:00,Box Score,Toronto Raptors,93,Philadelphia 76ers,100
2020-12-29 00:00:00,Box Score,Milwaukee Bucks,144,Miami Heat,97
2020-12-29 00:00:00,Box Score,Orlando Magic,118,Oklahoma City Thunder,107
2020-12-29 00:00:00,Box Score,New Orleans Pelicans,86,Phoenix Suns,111
2020-12-29 00:00:00,Box Score,Denver Nuggets,115,Sacramento Kings,125
2020-12-29 00:00:00,Box Score,Minnesota Timberwolves,101,Los Angeles Clippers,124
2020-12-30 00:00:00,Box Score,Milwaukee Bucks,108,Miami Heat,119
2020-12-30 00:00:00,Box Score,Atlanta Hawks,141,Brooklyn Nets,145
2020-12-30 00:00:00,Box Score,Memphis Grizzlies,107,Boston Celtics,126
2020-12-30 00:00:00,Box Score,Charlotte Hornets,118,Dallas Mavericks,99
2020-12-30 00:00:00,Box Score,Los Angeles Lakers,121,San Antonio Spurs,107
2020-12-30 00:00:00,Box Score,Portland Trail Blazers,105,Los Angeles Clippers,128
2020-12-31 00:00:00,Box Score,Cleveland Cavaliers,99,Indiana Pacers,119
2020-12-31 00:00:00,Box Score,Chicago Bulls,133,Washington Wizards,130
2020-12-31 00:00:00,Box Score,Philadelphia 76ers,116,Orlando Magic,92
2020-12-31 00:00:00,Box Score,Sacramento Kings,119,Houston Rockets,122
2020-12-31 00:00:00,Box Score,New York Knicks,83,Toronto Raptors,100
